,,,,,,,,,,,,,,,,,,,
,Test Case 수,,TC Total 수,Pass,Fail,Block,NI,Incomplete,실 시나리오 카운트,,,,,,,,,,
,42,"홈
(Comics)","{장르}
(랭킹 랜딩 서브탭)",,,,,,"1. {장르명} 서브탭 클릭
exc) 서브탭 영역 가려진 경우 노출될 때까지 스크롤 후 클릭
2. 상단 대분류 카테고리 필터 노출 확인
3. 작품 리스트 확인","1. {장르명} 서브탭이 활성화된다.
2. 상단 대분류 필터 영역이 노출되지 않는다.
3. 해당 장르의 Comic 작품이 300위까지 노출된다.",,공통,W,P0,,,,,
,43,"홈
(Novels)",진입,,,,"QA : spotlight
Prod : Daily",,1. 대메뉴 > Novels 카테고리 클릭,1. Novels 홈화면의 첫 번째 서브탭으로 진입된다.,,공통,W,P1,,,,,
,44,"홈
(Novels)","Spotlight
(섹션 서브탭)",프로모션 배너,,,,,"1. 프로모션 배너 섹션 노출 확인
2. 프로모션 배너 클릭","1. 프로모션 배너 이미지 및 배너 텍스트가 정상 노출된다.
2. 설정된 랜딩타겟으로 이동된다.",,공통,W,P1,,,,,
,45,"홈
(Novels)","Spotlight
(섹션 서브탭)",Top 섹션,빅배너,,,,1. Top 섹션 > 빅배너 노출 영역 확인,"1. 빅배너 설정에 맞게 정상 노출된다.
ㄴ 이미지,타이틀, BM/신작/연령/이벤트 뱃지",,공통,W,P1,,,,,
,46,"홈
(Novels)","Spotlight
(섹션 서브탭)",Top 섹션,빅배너,,,,"1. 빅배너 영역에서 8초 이상 대기
2. 빅배너 좌로 스와이프
3. 빅배너 우로 스와이프","1. 다음 빅배너로 자동 스와이프된다.
2. 이전 빅배너로 스와이프되며 상단 인디케이터도 순서에 맞게 노출된다.
3. 다음 빅배너로 스와이프되며 상단 인디케이터도 순서에 맞게 노출된다.",,공통,W,P1,,,,,
,47,"홈
(Novels)","Spotlight
(섹션 서브탭)",Top 섹션,빅배너,,,,"1. 빅배너 클릭
2. 상단네비바 [<] 또는 단말 백버튼 클릭","1. 빅배너 랜딩타겟으로 이동된다.
3. 이전 화면으로 돌아온다. (Novels 홈)",,공통,W,P1,,,,,
,48,"홈
(Novels)","Spotlight
(섹션 서브탭)",Top 섹션,카드배너,,,,"1. Top 섹션 > 카드배너 노출 확인
exc) 카드배너 영역 가려진 상태라면 노출될 때까지 스크롤 후 확인
2. 카드배너 클릭
3. 상단네비바 [<] 또는 단말 백버튼 클릭","1. 카드배너 설정에 맞게 정상 노출된다.
ㄴ 이미지,타이틀, BM/신작/연령/이벤트 뱃지
2. 카드배너 랜딩타겟으로 이동된다.
3. 이전 화면으로 돌아온다. (Novels 홈)",,공통,W,P1,,,,,
,49,"홈
(Novels)","Spotlight
(섹션 서브탭)",라인배너 섹션,,,,,"1. 라인배너 섹션 노출 확인
2. 라인배너 클릭
3. 상단네비바 [<] 또는 단말 백버튼 클릭","1. 라인배너 이미지 및 배너 텍스트 노출된다.
2. 설정된 랜딩타겟으로 이동된다.
3. 이전 화면으로 돌아온다. (Novels 홈)",,공통,W,P1,,,,,
,50,"홈
(Novels)","Spotlight
(섹션 서브탭)",Section Menu,,,,,"1. 섹션메뉴 노출 확인
2. 더보기[>] 영역 클릭","1. 각 섹션 메뉴 작품 노출된다.
2. 섹션 랜딩리스트 진입되고, 전체 작품 노출된다.",,공통,W,P1,,,,,
,51,"홈
(Novels)","Daily
(요일연재 랜딩 서브탭)",,,,,,"1. Daily 서브탭 클릭
2. 상단 대분류 카테고리 필터 노출 확인
3. 작품 리스트 확인
4. 요일별 클릭","1. Daily 서브탭이 활성화되며 디바이스 시간(요일)에 맞는 요일이 디폴트 선택되어 노출된다. 
2. 상단 대분류 필터 영역이 노출되지 않는다.
3. Novel 작품이 연재 요일에 맞게 노출된다. Comics 작품은 노출되지 않는다.
4. 변경된 요일 탭에 맞는 Novel 작품이 노출된다.",,공통,W,P1,,,,,
